ID,SEQUENCE,POS
1004,"One indication of the importance of replication is found in the 50 or more calls for replication research in the field of second language ( L2 ) research alone ( see references for 50 calls and commentaries in Appendix S1 in the Supporting Information online ) : from Santos ( 1989 ) through Polio and Gass 1997 to very recent proposals for specific replication studies , such as Vandergrift and Cross 2017 and even a book - length treatment ( Porte , 2012 ) .","CD NN IN DT NN IN NN VBZ VBN IN DT CD CC JJR NNS IN NN NN IN DT NN IN JJ NN -LRB- NN -RRB- NN RB -LRB- VB NNS IN CD NNS CC NNS IN NNP NNP IN DT VBG NN RB -RRB- : IN NNP -LRB- CD -RRB- IN NNP CC NNP CD IN RB JJ NNS IN JJ NN NNS , JJ IN NNP CC NNP CD CC RB DT NN HYPH NN NN -LRB- NNP , CD -RRB- ."
1005,"The cause is particularly close to Padalecki , who has been candid about his own struggles with depression . [ 20 ]","DT NN VBZ RB RB IN NNP , WP VBZ VBN JJ IN PRP$ JJ NNS IN NN . -LRB- CD -RRB-"
1006,Cook the quinoa .,VB DT NN .
1007,Fuck .,UH .
1008,"he lectured at the Congress of Arts and Sciences in St. Louis in 1904 , and in 1909 _ 1910 he visited both the University of California and Columbia University .","PRP VBD IN DT NNP IN NNPS CC NNPS IN NNP NNP IN CD , CC IN CD SYM CD PRP VBD CC DT NNP IN NNP CC NNP NNP ."
1009,Professor Eastman says iodine is added to only 10 per cent of Australian salt in contravention of a World Health Organisation recommendation that all salt be iodised .,NNP NNP VBZ NN VBZ VBN IN RB CD GW NN IN JJ NN IN NN IN DT NNP NNP NNP NN IN DT NN VB VBN .
1010,Yeah .,UH .
1011,A house cat can take care of the problem .,DT NN NN MD VB NN IN DT NN .
1012,Steps,NNS
1013,This map shows the extent of the major civilizations of the Western Hemisphere .,DT NN VBZ DT NN IN DT JJ NNS IN DT NNP NNP .
1014,"That way , you can easily stack boxes on top of one another .","DT NN , PRP MD RB VB NNS IN NN IN CD DT ."
1015,North Korea is an example of a totalitarian government .,NNP NNP VBZ DT NN IN DT JJ NN .
1016,"Athens was thriving and prosperous during the Crusades , actually benefiting from the Italian trade during this period .","NNP VBD VBG CC JJ IN DT NNPS , RB VBG IN DT JJ NN IN DT NN ."
1017,"And so we have to labour and to work , and to work hard , to give reality to our dreams .","CC RB PRP VBP TO VB CC TO VB , CC TO VB RB , TO VB NN IN PRP$ NNS ."
1018,THE END,DT NN
1019,"Marianne , which one are you going to get ?","NNP , WDT NN VBP PRP VBG TO VB ."
1020,This portrait of General Antonio Lopez de Santa Anna depicts the Mexican president and general in full military regalia .,DT NN IN NNP NNP NNP NNP NNP NNP VBZ DT JJ NN CC NN IN JJ JJ NN .
1021,Mhm .,UH .
1022,It just went down the wrong pipe .,PRP RB VBD IN DT JJ NN .
1023,I actually want to get one of those acrylic things where the lipsticks can just stand up in it and it looks super neat .,PRP RB VBP TO VB CD IN DT JJ NNS WRB DT NNS MD RB VB RP IN PRP CC PRP VBZ RB JJ .
1024,And --,CC :
1025,""" My father will like you , "" she said .","`` PRP$ NN MD VB PRP , '' PRP VBD ."
1026,Maybe not .,RB RB .
1027,2 teaspoons baking soda,CD NNS NN NN
1028,They could also use regular - length hockey sticks to hit bludgers ( perhaps wiffle balls ) on the ground .,PRP MD RB VB JJ HYPH NN NN NNS TO VB NNS -LRB- RB NN NNS -RRB- IN DT NN .
1029,The long answer is a bit more complicated .,DT JJ NN VBZ DT NN RBR JJ .
1030,"Holt was a second - team All - District 8 - 4A inclusion his sophomore year , batting .324 for the season . [ 2 ]","NNP VBD DT JJ HYPH JJ NNP HYPH NNP CD HYPH NNP NN PRP$ NN NN , VBG CD IN DT NN . -LRB- CD -RRB-"
1031,"The major exception is downtown , which is slanted at almost a 45 degree angle to the rest of the grid .","DT JJ NN VBZ NN , WDT VBZ JJ IN RB DT CD NN NN IN DT NN IN DT NN ."
1032,They made their case with intellect .,PRP VBD PRP$ NN IN NN .
1033,She later studied at the Conservatoire de Paris .,PRP RBR VBD IN DT NNP NNP NNP .
1034,"It was the first time she had been to his apartment , and she stood square in the center of his bedroom , her arms folded against her body as if she was afraid to sit down , to touch something .","PRP VBD DT JJ NN PRP VBD VBN IN PRP$ NN , CC PRP VBD RB IN DT NN IN PRP$ NN , PRP$ NNS VBN IN PRP$ NN IN IN PRP VBD JJ TO VB RP , TO VB NN ."
1035,"But , let me just read you the _ , cause this gives us the setting very nicely , and then we can uh , Erasmus entitled his anti-Luther pamphlet , Diatribe Concerning Free Will .","CC , VB PRP RB VB PRP DT : , IN DT VBZ PRP DT NN RB RB , CC RB PRP MD UH , NNP VBD PRP$ JJ NN , NNP NNP NNP NNP ."
1036,Name and history,NN CC NN
1037,""" Environment Canada security report found on street "" _ Toronto Star , August 15 , 2008","`` NNP NNP NN NN VBN IN NN '' : NNP NNP , NNP CD , CD"
1038,"While dancing ballet takes dedication and requires serious training , you can learn the basics to prepare yourself for further study .","IN VBG NN VBZ NN CC VBZ JJ NN , PRP MD VB DT NNS TO VB PRP IN JJR NN ."
1039,You can use this on twist outs .,PRP MD VB DT IN NN NNS .
1040,"And you got to have , a bunch of workers .","CC PRP VBD TO VB , DT NN IN NNS ."
1041,We need Trump now .,PRP VBP NNP RB .
1042,Okay ?,UH .
1043,"This is a decrease from the year before , when it was forty percent .","DT VBZ DT NN IN DT NN RB , WRB PRP VBD CD NN ."
1044,His autobiography ( see below ) was published in English translation as recently as 1995 .,PRP$ NN -LRB- VB RB -RRB- VBD VBN IN JJ NN RB RB IN CD .
1045,I unclenched them .,PRP VBD PRP .
1046,Oh you made it move !,UH PRP VBD PRP VB .
1047,Cover and reduce heat to low .,VB CC VB NN IN JJ .
1048,"One of the most scenicly attractive ports in the whole of New Zealand , Port Hutt boasts an incredibly sheltered little harbour , with picturesque views and safe anchorage in all weather .","CD IN DT RBS RB JJ NNS IN DT NN IN NNP NNP , NNP NNP VBZ DT RB VBN JJ NN , IN JJ NNS CC JJ NN IN DT NN ."
1049,Eventually I actually can check _ maybe we can check for this at Target .,RB PRP RB MD VB : RB PRP MD VB IN DT IN NNP .
1050,_ Ramon ?,`` NNP .
1051,"The streets and avenues are planned on a 1 mile by 1 mile grid system , with the main arterials running on each mile .","DT NNS CC NNS VBP VBN IN DT CD NN IN CD NN NN NN , IN DT JJ NNS VBG IN DT NN ."
1052,Do not expect the flashest and latest in rental cars though .,VB RB VB DT JJS CC JJS IN JJ NNS RB .
1053,Shake occasionally so the flavour mixes well .,VB RB IN DT NN VBZ RB .
1054,Stainless steel ?,JJ NN .
1055,"If you are a hunter , you might be lucky to run into the yearly Pheasant or hare hunts - you can even rest assured your "" evil deeds "" does some good , as it supports life on the island .","IN PRP VBP DT NN , PRP MD VB JJ TO VB IN DT JJ NN CC NN NNS : PRP MD RB VB VBN PRP$ `` JJ NNS '' VBZ DT NN , IN PRP VBZ NN IN DT NN ."
1056,Bonus ?,NN .
1057,"Sure some stronger impulse vibrates here , Which whispers friendship will be doubly dear To one , who thus for kindred hearts must roam , And seek abroad , the love denied at home .","RB DT JJR NN VBZ RB , WDT VBZ NN MD VB RB JJ IN PRP , WP RB IN JJ NNS MD VB , CC VB RB , DT NN VBN IN NN ."
1058,"And , I am still scared to do it .","CC , PRP VBP RB JJ TO VB PRP ."
1059,_ ... Tyler ! Flynn ! Chalmers ! King ! Golden ! Blair ... _,`` : NNP . NNP . NNP . NNP . NNP . NNP : ''
1060,What goes through your head when that happens ?,WP VBZ IN PRP$ NN WRB DT VBZ .
1061,They married in 2014 . [ 17 ] [ 18 ] [ 19 ],PRP VBD IN CD . -LRB- CD -RRB- -LRB- CD -RRB- -LRB- CD -RRB-
1062,This is _,DT VBZ :
1063,They 're guaranteed to be light and fluffy and perfect for any occasion .,PRP VBP VBN TO VB JJ CC JJ CC JJ IN DT NN .
1064,Looking with his head down .,VBG IN PRP$ NN RB .
1065,Of it .,IN PRP .
1066,"On Friday , 28 February , New Zealand recorded its first case of the COVID - 19 coronavirus , becoming the 48th country to have a confirmed case .","IN NNP , CD NNP , NNP NNP VBD PRP$ JJ NN IN DT NNP HYPH CD NN , VBG DT JJ NN TO VB DT VBN NN ."
1067,We __e the healthiest .,PRP VBP DT JJS .
1068,They accept that it was wrong for him to withhold military aid to Ukraine until the President of that country promised to interfere in the American elections .,PRP VBP IN PRP VBD JJ IN PRP TO VB JJ NN IN NNP IN DT NNP IN DT NN VBD TO VB IN DT JJ NNS .
1069,"As a result , a population of just over 100,000 in 1950 has given way to a 2014 estimate of 1,537,058 ( with the metro area estimated at 4,489,109 ) .","IN DT NN , DT NN IN RB RB CD IN CD VBZ VBN NN IN DT CD NN IN CD -LRB- IN DT NN NN VBN IN CD -RRB- ."
1070,Alright .,UH .
1071,See the pictures .,VB DT NNS .
1072,"In the meantime , Albania is reinforcing its border management and control , guided by the European Union and NATO standards .","IN DT NN , NNP VBZ VBG PRP$ NN NN CC NN , VBN IN DT NNP NNP CC NNP NNS ."
1073,I tried it once and it was pretty dreadful .,PRP VBD PRP RB CC PRP VBD RB JJ .
1074,Tips,NNS
1075,"So far , we have covered how evolutionary ethics relates to the question what we ought to do and why we are moral in the first place .","RB RB , PRP VBP VBN WRB JJ NN VBZ IN DT NN WP PRP MD TO VB CC WRB PRP VBP JJ IN DT JJ NN ."
1076,"[ The santorum neologism is ] offensive beyond , you know , anything that any public figure or anybody in America should tolerate , and the mainstream media laughs about it . _ Rick Santorum","-LRB- DT NN NN VBZ -RRB- JJ IN , PRP VBP , NN WDT DT JJ NN CC NN IN NNP MD VB , CC DT JJ NN VBZ IN PRP . SYM NNP NNP"
1077,"Higher levels of proficiency ( or exposure ) may be associated with less attrition [ 17 ] , [ 18 ] , [ 21 ] , [ 23 ] or even with no observed losses [ 21 ] .","JJR NNS IN NN -LRB- CC NN -RRB- MD VB VBN IN JJR NN -LRB- CD -RRB- , -LRB- CD -RRB- , -LRB- CD -RRB- , -LRB- CD -RRB- CC RB IN DT VBN NNS -LRB- CD -RRB- ."
1078,Hundreds of millions of lives are depending on our actions here .,NNS IN NNS IN NNS VBP VBG IN PRP$ NNS RB .
1079,Avai'o'vuna Swamp is a small coastal wetland on the island .,NNP NNP VBZ DT JJ JJ NN IN DT NN .
1080,Braised meat .,JJ NN .
1081,"Title , binding , and covers had been gnawed away .","NN , NN , CC NNS VBD VBN VBN RB ."
1082,"The first public performances of his works were in Prague in 1872 and , with special success , in 1873 , when he was aged 31 .","DT JJ JJ NNS IN PRP$ NNS VBD IN NNP IN CD CC , IN JJ NN , IN CD , WRB PRP VBD JJ CD ."
1083,I was so hungry .,PRP VBD RB JJ .
1084,Is it a popular wine ?,VBZ PRP DT JJ NN .
1085,This video shows a more realistic approach to playing Quidditch .,DT NN VBZ DT RBR JJ NN IN VBG NNP .
1086,And this would be ...,CC DT MD VB :
1087,So I can find _ find some girls with empty chairs next to em ?,RB PRP MD VB : VB DT NNS IN JJ NNS RB IN PRP .
1088,"In the wake of violence and division , hatred and mistruth , in the shadow of disease and economic hardship , a warming planet and unequal society , we begin the work of the 117th Congress .","IN DT NN IN NN CC NN , NN CC NN , IN DT NN IN NN CC JJ NN , DT VBG NN CC JJ NN , PRP VBP DT NN IN DT JJ NNP ."
1089,"With shoes as wide as a forearm , and a rigid torso of carved foam , she remained exuberant even when caught in the traffic between halls , many hours into wearing the outfit .","IN NNS IN JJ IN DT NN , CC DT JJ NN IN VBN NN , PRP VBD JJ RB WRB VBN IN DT NN IN NNS , JJ NNS IN VBG DT NN ."
1090,"At Suffolk she obtained a Bachelor of Science in Psychology , and later attended Boston University for a Master of Education in Sport Psychology and Counseling . [ 7 ]","IN NNP PRP VBD DT NN IN NN IN NN , CC RBR VBD NNP NNP IN DT NN IN NN IN NN NN CC NN . -LRB- CD -RRB-"
1091,"Peppermint oil cotton balls need to be replaced after 5 - 7 days , depending upon the quantity of oil you put on it .","NN NN NN NNS VBP TO VB VBN IN CD SYM CD NNS , VBG IN DT NN IN NN PRP VBP IN PRP ."
1092,Explain how the Union forces overpowered the Confederacy,VB WRB DT NNP NNS VBD DT NNP
1093,Visa and legal issues,NN CC JJ NNS
1094,Add one cup of broth and one cup of water to the saucepan and bring to a boil over medium high heat .,VB CD NN IN NN CC CD NN IN NN IN DT NN CC VB IN DT NN IN JJ JJ NN .
1095,"This project is of relevance to researchers in media studies , fan studies , information studies and digital humanities .","DT NN VBZ IN NN IN NNS IN NN NNS , NN NNS , NN NNS CC JJ NNS ."
1096,"Many elevators play music in the background , usually soft rock or smooth jazz .","JJ NNS VBP NN IN DT NN , RB JJ NN CC JJ NN ."
1097,"Open Educational Resources ( OER ) are teaching , learning , and research materials in any medium that reside in the public domain or have been released under an open license that permits their free use and re-purposing by others .","NNP NNP NNPS -LRB- NNP -RRB- VBP NN , NN , CC NN NNS IN DT NN WDT VBP IN DT JJ NN CC VBP VBN VBN IN DT JJ NN WDT VBZ PRP$ JJ NN CC NN IN NNS ."
1098,Recently we were listed in New Hampshire and listed nationally with Politics1 .,RB PRP VBD VBN IN NNP NNP CC VBN RB IN NNP .
1099,Grazie !,FW .
1100,On the floor was a wrapper from a French Chew .,IN DT NN VBD DT NN IN DT NNP NNP .
1101,_ See what I mean ? _ the voice shouted over my moans .,`` VB WP PRP VBP . '' DT NN VBD IN PRP$ NNS .
1102,Oh so this is interesting .,UH UH DT VBZ JJ .
1103,"Macaulay , Thomas Babington .","NNP , NNP NNP ."
1104,"Later , Aristotle and others came to the conclusion that matter consisted of various combinations of the four _ elements _ _ fire , earth , air , and water _ and could be infinitely divided .","RBR , NNP CC NNS VBD IN DT NN IN NN VBD IN JJ NNS IN DT CD `` NNS '' : NN , NN , NN , CC NN : CC MD VB RB VBN ."
1105,"Once two sets of leaves have formed , basil can be planted into the garden or permanent containers .","RB CD NNS IN NNS VBP VBN , NN MD VB VBN IN DT NN CC JJ NNS ."
1106,It may be easier to play without brooms ( but also less fun ! ) .,PRP MD VB JJR TO VB IN NNS -LRB- CC RB RBR JJ . -RRB- .
1107,"Now , imagine that you were taken away from your parents as a baby and adopted by a family far away , with a very different way of life situated in a very different environment .","RB , VB IN PRP VBD VBN RB IN PRP$ NNS IN DT NN CC VBN IN DT NN RB RB , IN DT RB JJ NN IN NN VBN IN DT RB JJ NN ."
1108,"This was a very difficult decision , but one that was made with the American public in mind .","DT VBD DT RB JJ NN , CC CD WDT VBD VBN IN DT JJ NN IN NN ."
1109,"As noted earlier , all analyses were weighted according to the survey weight provided by the Add Health research staff and standard errors were corrected for the clustering and stratification that defined the sampling strategy .","IN VBN RBR , DT NNS VBD VBN VBG IN DT NN NN VBN IN DT NNP NNP NN NN CC JJ NNS VBD VBN IN DT NN CC NN WDT VBD DT NN NN ."
1110,The authors say the results confirm the existence of inadequate iodine intake in the Australian population .,DT NNS VBP DT NNS VBP DT NN IN JJ NN NN IN DT JJ NN .
1111,Regular tourists who renew their 30 day visa are eligible to depart the country ( to any destination ) and return immediately enjoying a further 60 days ( 30 days plus a 30 day extension ) .,JJ NNS WP VBP PRP$ CD NN NN VBP JJ TO VB DT NN -LRB- IN DT NN -RRB- CC VB RB VBG DT JJR CD NNS -LRB- CD NNS CC DT CD NN NN -RRB- .
1112,Rude .,JJ .
1113,"In the next section , we turn to the relevance of evolutionary ethics for moral epistemology .","IN DT JJ NN , PRP VBP IN DT NN IN JJ NN IN JJ NN ."
1114,"Heavy oily drops bounced from leaf to grass to dusty ground , gathering in stems and folds on the way .","JJ JJ NNS VBD IN NN IN NN IN JJ NN , VBG IN NNS CC NNS IN DT NN ."
1115,Over 50 years .,RB CD NNS .
1116,"I pulled the bike to a halt , the front wheel pointing in his direction .","PRP VBD DT NN IN DT NN , DT JJ NN VBG IN PRP$ NN ."
1117,The Salt and Verde Rivers of central Arizona were exploited for large - scale agriculture by Native Americans as early as the 11th century .,DT NNP CC NNP NNPS IN JJ NNP VBD VBN IN JJ HYPH NN NN IN NNP NNPS RB RB IN DT JJ NN .
1118,"This theory , along with other theories of correspondence in translating , are elaborated in his essay Principles of Correspondence , where Nida begins by asserting that given that "" no two languages are identical , either in the meanings given to corresponding symbols or in the ways in which symbols are arranged in phrases and sentences , it stands to reason that there can be no absolute correspondence between languages .","DT NN , RB IN JJ NNS IN NN IN VBG , VBP VBN IN PRP$ NN NNPS IN NNP , WRB NNP VBZ IN VBG IN VBN IN `` DT CD NNS VBP JJ , CC IN DT NNS VBN IN JJ NNS CC IN DT NNS IN WDT NNS VBP VBN IN NNS CC NNS , PRP VBZ IN NN IN EX MD VB DT JJ NN IN NNS ."
1119,"Yesterday , day five of the 2018 FIFA football World Cup , Sweden defeated South Korea 1 _ 0 ; Belgium defeated debutants Panama 3 _ 0 ; and Tunisia lost 1 _ 2 to England , with a late goal from English captain Harry Kane .","NN , NN CD IN DT CD NNP NN NNP NNP , NNP VBD NNP NNP CD SYM CD : NNP VBD NNS NNP CD SYM CD : CC NNP VBD CD SYM CD IN NNP , IN DT JJ NN IN JJ NN NNP NNP ."
