,SEQUENCE,POS,NLTK,CORENLP,SPACY,FLAIR,OPENNLP,STANZA
827,"Please note that if departing from Europe ( this may apply to other countries ) , you will require to have the visa before boarding the plane .","UH VB IN IN VBG IN NNP -LRB- DT MD VB IN JJ NNS -RRB- , PRP MD VB TO VB DT NN IN VBG DT NN .","NNP NN IN IN VBG IN NNP ( DT MD VB TO JJ NNS ) , PRP MD VB TO VB DT NN IN VBG DT NN .","UH VB IN IN VBG IN NNP -LRB- DT MD VB IN JJ NNS -RRB- , PRP MD VB TO VB DT NN IN VBG DT NN .","UH VB IN IN VBG IN NNP -LRB- DT MD VB IN JJ NNS -RRB- , PRP MD VB TO VB DT NN IN VBG DT NN .","UH VB IN IN VBG IN NNP , DT MD VB IN JJ NNS -RRB- , PRP MD VB TO VB DT NN IN VBG DT NN .","VB NN IN IN VBG IN NNP -LRB- DT MD VB TO JJ NNS -RRB- , PRP MD VB TO VB DT NN IN VBG DT NN .","UH VB IN IN VBG IN NNP -LRB- DT MD VB IN JJ NNS -RRB- , PRP MD VB TO VB DT NN IN VBG DT NN ."
828,Percentiles are useful for comparing values .,NNS VBP JJ IN VBG NNS .,NNS VBP JJ IN VBG NNS .,NNS VBP JJ IN VBG NNS .,NNS VBP JJ IN VBG NNS .,NNS VBP JJ IN VBG NNS .,NNP VBP JJ IN VBG NNS .,NNS VBP JJ IN VBG NNS .
829,Oh really .,UH RB .,UH RB .,UH RB .,UH RB .,UH RB .,UH RB .,UH RB .
830,Play the game !,VB DT NN .,VB DT NN .,VB DT NN .,VB DT NN .,VB DT NN .,NNP DT NN .,VB DT NN .
831,"At the end of his life the Tsar , who had visited Gordon frequently during his illness , was with him when he died , and with his own hands closed his eyes .","IN DT NN IN PRP$ NN DT NNP , WP VBD VBN NNP RB IN PRP$ NN , VBD IN PRP WRB PRP VBD , CC IN PRP$ JJ NNS VBD PRP$ NNS .","IN DT NN IN PRP$ NN DT NNP , WP VBD VBN NNP RB IN PRP$ NN , VBD IN PRP WRB PRP VBD , CC IN PRP$ JJ NNS VBD PRP$ NNS .","IN DT NN IN PRP$ NN DT NN , WP VBD VBN NNP RB IN PRP$ NN , VBD IN PRP WRB PRP VBD , CC IN PRP$ JJ NNS VBD PRP$ NNS .","IN DT NN IN PRP$ NN DT NNP , WP VBD VBN NNP RB IN PRP$ NN , VBD IN PRP WRB PRP VBD , CC IN PRP$ JJ NNS VBD PRP$ NNS .","IN DT NN IN PRP$ NN DT NNP , WP VBD VBN NNP RB IN PRP$ NN , VBD IN PRP WRB PRP VBD , CC IN PRP$ JJ NNS VBD PRP$ NNS .","IN DT NN IN PRP$ NN DT NNP , WP VBD VBN NNP RB IN PRP$ NN , VBD IN PRP WRB PRP VBD , CC IN PRP$ JJ NNS VBD PRP$ NNS .","IN DT NN IN PRP$ NN DT NNP , WP VBD VBN NNP RB IN PRP$ NN , VBD IN PRP WRB PRP VBD , CC IN PRP$ JJ NNS VBD PRP$ NNS ."
832,"I still believe in the kind of America which I described in this hall 3 years ago , and I am still determined that this Nation shall continue to strive to meet those goals .","PRP RB VBP IN DT NN IN NNP WDT PRP VBD IN DT NN CD NNS RB , CC PRP VBP RB JJ IN DT NN MD VB TO VB TO VB DT NNS .","PRP RB VBP IN DT NN IN NNP WDT PRP VBD IN DT NN CD NNS RB , CC PRP VBP RB VBN IN DT NNP MD VB TO VB TO VB DT NNS .","PRP RB VBP IN DT NN IN NNP WDT PRP VBD IN DT NN CD NNS RB , CC PRP VBP RB VBN IN DT NN MD VB TO VB TO VB DT NNS .","PRP RB VBP IN DT NN IN NNP WDT PRP VBD IN DT NN CD NNS RB , CC PRP VBP RB JJ IN DT NN MD VB TO VB TO VB DT NNS .","PRP RB VBP IN DT NN IN NNP WDT PRP VBD IN DT NN CD NNS RB , CC PRP VBP RB JJ IN DT NNP MD VB TO VB TO VB DT NNS .","PRP RB VBP IN DT NN IN NNP WDT PRP VBD IN DT NN CD NNS RB , CC PRP VBP RB VBN IN DT NNP MD VB TO VB TO VB DT NNS .","PRP RB VBP IN DT NN IN NNP WDT PRP VBD IN DT NN CD NNS RB , CC PRP VBP RB VBN IN DT NNP MD VB TO VB TO VB DT NNS ."
833,Bats : Left,VBZ : RB,NNS : VBD,NNS : NNP,NNS : VBN,NNS : NNP,NNS : VBN,NNS : VBN
834,It goes like this .,PRP VBZ IN DT .,PRP VBZ IN DT .,PRP VBZ IN DT .,PRP VBZ IN DT .,PRP VBZ IN DT .,PRP VBZ IN DT .,PRP VBZ IN DT .
835,"His daughter was married firstly to the German - Russian Colonel Rudolf Strasburgh , and then married from 1699 or 1700 to his kinsman in the Russian service Alexander Gordon of Auchintoul , author of "" The History of Peter the Great , Emperor of Russia "" .","PRP$ NN VBD VBN RB IN DT JJ HYPH JJ NNP NNP NNP , CC RB VBN IN CD CC CD IN PRP$ NN IN DT JJ NN NNP NNP IN NNP , NN IN `` DT NNP IN NNP DT NNP , NNP IN NNP '' .","PRP$ NN VBD VBN RB TO DT JJ : JJ NNP NNP NNP , CC RB VBD IN CD CC CD TO PRP$ NN IN DT JJ NN NNP NNP IN NNP , NN IN PDT DT NNP IN NNP DT NNP , NNP IN NNP NNP .","PRP$ NN VBD VBN RB IN DT JJ HYPH JJ NNP NNP NNP , CC RB VBN IN CD CC CD IN PRP$ NN IN DT JJ NN NNP NNP IN NNP , NN IN `` DT NN IN NNP DT NNP , NNP IN NNP '' .","PRP$ NN VBD VBN RB IN DT JJ HYPH JJ NNP NNP NNP , CC RB JJ IN CD CC CD IN PRP$ NN IN DT JJ NN NNP NNP IN NNP , NN IN `` DT NN IN NNP DT NNP , NNP IN NNP '' .","PRP$ NN VBD JJ RB IN DT JJ HYPH JJ NNP NNP NNP , CC RB JJ IN CD CC CD IN PRP$ NN IN DT JJ NN NNP NNP IN NNP , NN IN `` DT NNP IN NNP DT NNP , NNP IN NNP '' .","PRP$ NN VBD VBN RB TO DT NNP : JJ NNP NNP NNP , CC RB VBN IN CD CC CD TO PRP$ NN IN DT NNP NN NNP NNP IN NNP , NN IN `` DT NN IN NNP DT NNP , NNP IN NNP '' .","PRP$ NN VBD VBN RB IN DT JJ HYPH JJ NNP NNP NNP , CC RB VBN IN CD CC CD IN PRP$ NN IN DT JJ NN NNP NNP IN NNP , NN IN `` DT NNP IN NNP DT NNP , NNP IN NNP '' ."
836,"And she had been a stupid girl , anyway .","CC PRP VBD VBN DT JJ NN , RB .","CC PRP VBD VBN DT JJ NN , RB .","CC PRP VBD VBN DT JJ NN , RB .","CC PRP VBD VBN DT JJ NN , UH .","CC PRP VBD VBN DT JJ NN , RB .","CC PRP VBD VBN DT JJ NN , RB .","CC PRP VBD VBN DT JJ NN , RB ."
837,It is Tuesday and today I got pulled to ultrasound .,PRP VBZ NNP CC NN PRP VBD VBN IN NN .,PRP VBZ NNP CC NN PRP VBD VBN TO VB .,PRP VBZ NNP CC NN PRP VBD VBN IN NN .,PRP VBZ NNP CC NN PRP VBD VBN TO VB .,PRP VBZ NNP CC NN PRP VBD VBN IN NN .,PRP VBZ NNP CC NN PRP VBD VBN TO VB .,PRP VBZ NNP CC NN PRP VBD VBN IN NN .
838,"The Olmec also developed a system of trade throughout Mesoamerica , giving rise to an elite class .","DT NNPS RB VBD DT NN IN NN IN NNP , VBG NN IN DT JJ NN .","DT NNP RB VBD DT NN IN NN IN NNP , VBG NN TO DT JJ NN .","DT NNP RB VBD DT NN IN NN IN NNP , VBG NN IN DT JJ NN .","DT NNP RB VBD DT NN IN NN IN NNP , VBG NN IN DT JJ NN .","DT NNP RB VBD DT NN IN NN IN NNP , VBG NN IN DT JJ NN .","DT NNP RB VBD DT NN IN NN IN NNP , VBG NN TO DT JJ NN .","DT NNPS RB VBD DT NN IN NN IN NNP , VBG NN IN DT JJ NN ."
839,"In the past few days , however , it has become evident to me that I no longer have a strong enough political base in the Congress to justify continuing that effort .","IN DT JJ JJ NNS , RB , PRP VBZ VBN JJ IN PRP IN PRP RB RBR VBP DT JJ RB JJ NN IN DT NNP TO VB VBG DT NN .","IN DT JJ JJ NNS , RB , PRP VBZ VBN JJ TO PRP IN PRP RB RB VB DT JJ RB JJ NN IN DT NNP TO VB VBG IN NN .","IN DT JJ JJ NNS , RB , PRP VBZ VBN JJ IN PRP IN PRP RB RBR VBP DT JJ JJ JJ NN IN DT NNP TO VB VBG IN NN .","IN DT JJ JJ NNS , RB , PRP VBZ VBN JJ IN PRP IN PRP RB RB VBP DT JJ JJ JJ NN IN DT NNP TO VB VBG DT NN .","IN DT JJ JJ NNS , RB , PRP VBZ VBN JJ IN PRP IN PRP RB RBR VB DT JJ JJ JJ NN IN DT NNP TO VB VBG DT NN .","IN DT JJ JJ NNS , RB , PRP VBZ VBN JJ TO PRP IN PRP RB RB VBP DT JJ JJ JJ NN IN DT NNP TO VB VBG DT NN .","IN DT JJ JJ NNS , RB , PRP VBZ VBN JJ IN PRP IN PRP RB RBR VBP DT JJ JJ JJ NN IN DT NNP TO VB VBG DT NN ."
840,"Monks are an integral part of Buddhism in Thailand , and Thai men are generally expected to spend a certain amount of time living as a monk at least once in their lifetime .","NNS VBP DT JJ NN IN NNP IN NNP , CC JJ NNS VBP RB VBN TO VB DT JJ NN IN NN VBG IN DT NN IN JJS RB IN PRP$ NN .","NNS VBP DT JJ NN IN NNP IN NNP , CC NNP NNS VBP RB VBN TO VB DT JJ NN IN NN NN IN DT NN IN JJS RB IN PRP$ NN .","NNS VBP DT JJ NN IN NNP IN NNP , CC JJ NNS VBP RB VBN TO VB DT JJ NN IN NN VBG IN DT NN IN JJS RB IN PRP$ NN .","NNS VBP DT JJ NN IN NNP IN NNP , CC JJ NNS VBP RB VBN TO VB DT JJ NN IN NN VBG IN DT NN IN JJS RB IN PRP$ NN .","NNS VBP DT JJ NN IN NNP IN NNP , CC JJ NNS VBP RB VBN TO VB DT JJ NN IN NN VBG IN DT NN IN JJS RB IN PRP$ NN .","NNS VBP DT JJ NN IN NNP IN NNP , CC NNP NNS VBP RB VBN TO VB DT JJ NN IN NN VBG IN DT NN IN JJS RB IN PRP$ NN .","NNS VBP DT JJ NN IN NNP IN NNP , CC JJ NNS VBP RB VBN TO VB DT JJ NN IN NN VBG IN DT NN IN JJS RB IN PRP$ NN ."
841,"they need to be planted 6 inches apart , since they grow quite large .","PRP VBP TO VB VBN CD NNS RB , IN PRP VBP RB JJ .","PRP VBP TO VB VBN CD NNS RB , IN PRP VBP RB JJ .","PRP VBP TO VB VBN CD NNS RB , IN PRP VBP RB JJ .","PRP VBP TO VB VBN CD NNS RB , IN PRP VBP RB JJ .","PRP VBP TO VB VBN CD NNS RB , IN PRP VBP RB JJ .","PRP VBP TO VB VBN CD NNS RB , IN PRP VBP RB JJ .","PRP VBP TO VB VBN CD NNS RB , IN PRP VBP RB JJ ."
842,"Posts on the message board for the Scientology - critic site Operation Clambake from Friday theorized that a denial - of - service attack had occurred , and wrote that as of Friday the Scientology.org site was either not loading at all , or loading very slowly .","NNS IN DT NN NN IN DT NNP HYPH NNP NN NNP NNP IN NNP VBD IN DT NN HYPH IN HYPH NN NN VBD VBN , CC VBD IN IN IN NNP DT NNP NN VBD CC RB VBG IN DT , CC VBG RB RB .","NNS IN DT NN NN IN DT NNP : JJ NN NNP NNP IN NNP VBD IN DT JJ : IN : NN NN VBD VBN , CC VBD IN IN IN NNP DT NNP NN VBD RB RB VBG IN DT , CC VBG RB RB .","NNS IN DT NN NN IN DT NNP HYPH NN NN NN NN IN NNP VBD IN DT NN HYPH IN HYPH NN NN VBD VBN , CC VBD IN IN IN NNP DT NN NN VBD CC RB VBG IN RB , CC NN RB RB .","NNS IN DT NN NN IN DT NNP HYPH NN NN NNP NNP IN NNP VBD IN DT NN HYPH IN HYPH NN NN VBD VBN , CC VBD IN IN IN NNP DT NN NN VBD CC RB VBG RB RB , CC VBG RB RB .","NNS IN DT NN NN IN DT NNP HYPH NN NN NNP NNP IN NNP VBD IN DT NN HYPH IN HYPH NN NN VBD VBN , CC VBD IN IN IN NNP DT NNP NN VBD CC RB VBG RB RB , CC VBG RB RB .","NNS IN DT NN NN IN DT NNP : NN NN NNP NNP IN NNP VBD IN DT NN : IN : NN NN VBD VBN , CC VBD IN IN IN NNP DT NNP NN VBD RB RB NN IN DT , CC NN RB RB .","NNS IN DT NN NN IN DT NNP HYPH NN NN NNP NNP IN NNP VBD IN DT NN HYPH IN HYPH NN NN VBD VBN , CC VBD IN IN IN NNP DT NNP NN VBD CC RB VBG IN DT , CC VBG RB RB ."
843,""" No , "" she said .","`` UH , '' PRP VBD .","NN NNP , NNP PRP VBD .","`` UH , '' PRP VBD .","`` UH , '' PRP VBD .","`` UH , '' PRP VBD .","`` UH , '' PRP VBD .","`` UH , '' PRP VBD ."
844,"Abolitionists and their Republican supporters in Congress worked to correct this discriminatory practice , and in 1864 , Black soldiers began to receive the same pay as White soldiers plus retroactive pay to 1863 ( Figure 15.17 ) .","NNS CC PRP$ JJ NNS IN NNP VBD TO VB DT JJ NN , CC IN CD , JJ NNS VBD TO VB DT JJ NN IN JJ NNS CC JJ NN IN CD -LRB- NNP CD -RRB- .","NNS CC PRP$ JJ NNS IN NNP VBD TO VB DT JJ NN , CC IN CD , NNP VBZ VBD TO VB DT JJ NN IN NNP NNS CC JJ NN TO CD ( NNP CD ) .","NNS CC PRP$ JJ NNS IN NNP VBD TO VB DT JJ NN , CC IN CD , JJ NNS VBD TO VB DT JJ NN IN JJ NNS CC JJ NN IN CD -LRB- NN CD -RRB- .","NNS CC PRP$ JJ NNS IN NNP VBD TO VB DT JJ NN , CC IN CD , JJ NNS VBD TO VB DT JJ NN IN JJ NNS CC JJ NN IN CD -LRB- NNP CD -RRB- .","NNS CC PRP$ JJ NNS IN NNP VBD TO VB DT JJ NN , CC IN CD , JJ NNS VBD TO VB DT JJ NN IN JJ NNS CC JJ NN IN CD SYM NNP CD -RRB- .","NNS CC PRP$ JJ NNS IN NNP VBD TO VB DT JJ NN , CC IN CD , NNP NNS VBD TO VB DT JJ NN IN JJ NNS CC JJ NN TO CD -LRB- NN CD -RRB- .","NNS CC PRP$ JJ NNS IN NNP VBD TO VB DT JJ NN , CC IN CD , NNP NNS VBD TO VB DT JJ NN IN JJ NNS CC JJ NN IN CD -LRB- NNP CD -RRB- ."
845,Hey friends !,UH NNS .,NNP VBZ .,UH NNS .,UH NNS .,UH NNS .,UH NNS .,UH NNS .
846,"According to Wilkins , Warhol was able to reproduce the Polaroid photograph and create an enlargement of it , which he then could use to commit the image to the silk screen medium by applying paint or manipulating them further .","VBG IN NNP , NNP VBD JJ TO VB DT NNP NN CC VB DT NN IN PRP , WDT PRP RB MD VB TO VB DT NN IN DT NN NN NN IN VBG NN CC VBG PRP RBR .","VBG TO NNP , NNP VBD JJ TO VB DT NNP NN CC VB DT NN IN PRP , WDT PRP RB MD VB TO VB DT NN TO DT NN NN NN IN VBG NN CC VBG PRP RBR .","VBG IN NNP , NNP VBD JJ TO VB DT NNP NN CC VB DT NN IN PRP , WDT PRP RB MD VB TO VB DT NN IN DT NN NN NN IN VBG NN CC VBG PRP RB .","VBG IN NNP , NNP VBD JJ TO VB DT NNP NN CC VB DT NN IN PRP , WDT PRP RB MD VB TO VB DT NN IN DT NN NN NN IN VBG NN CC VBG PRP RB .","VBG IN NNP , NNP VBD JJ TO VB DT NNP NN CC VB DT NN IN PRP , WDT PRP RB MD VB TO VB DT NN IN DT NN NN NN IN VBG NN CC VBG PRP RB .","VBG TO NNP , NNP VBD JJ TO VB DT NNP NN CC VB DT NN IN PRP , WDT PRP RB MD VB TO VB DT NN TO DT NN NN NN IN VBG NN CC NN PRP RB .","VBG IN NNP , NNP VBD JJ TO VB DT NNP NN CC VB DT NN IN PRP , WDT PRP RB MD VB TO VB DT NN IN DT NN NN NN IN VBG NN CC VBG PRP RBR ."
847,Down at the back .,RB IN DT NN .,RB IN DT NN .,RB IN DT NN .,RB IN DT NN .,RB IN DT NN .,IN IN DT NN .,RB IN DT NN .
848,Obtain Beavertail cuttings .,VB NNP NNS .,NNP NNP NNS .,VB NNP NNS .,VB NNP NNS .,VB NNP NNS .,NNP NNP NNS .,VB NN NNS .
849,"In addition , we reduced the total tail mass to 15 % body mass from the 20 % body mass used by Carrano and Biewener .","IN NN , PRP VBD DT JJ NN NN IN CD NN NN NN IN DT CD NN NN NN VBN IN NNP CC NNP .","IN NN , PRP VBD DT JJ NN NN TO CD NN NN NN IN DT CD NN NN NN VBN IN NNP CC NNP .","IN NN , PRP VBD DT JJ NN NN IN CD NN NN NN IN DT CD NN NN NN VBN IN NNP CC NNP .","IN NN , PRP VBD DT JJ NN NN IN CD NN NN NN IN DT CD NN NN NN VBN IN NNP CC NNP .","IN NN , PRP VBD DT JJ NN NN IN CD NN NN NN IN DT CD NN NN NN VBN IN NNP CC NNP .","IN NN , PRP VBD DT JJ NN NN TO CD NN NN NN IN DT CD NN NN NN VBN IN NNP CC NNP .","IN NN , PRP VBD DT JJ NN NN IN CD NN NN NN IN DT CD NN NN NN VBN IN NNP CC NNP ."
850,I never wanted to make politics a career .,PRP RB VBD TO VB NN DT NN .,PRP RB VBD TO VB NNS DT NN .,PRP RB VBD TO VB NNS DT NN .,PRP RB VBD TO VB NNS DT NN .,PRP RB VBD TO VB NNS DT NN .,PRP RB VBD TO VB NNS DT NN .,PRP RB VBD TO VB NNS DT NN .
851,"For some goods , geography affects specialization .","IN DT NNS , NN VBZ NN .","IN DT NNS , NN NNS NN .","IN DT NNS , NN VBZ NN .","IN DT NNS , NNP VBZ NN .","IN DT NNS , NN VBZ NN .","IN DT NNS , NN VBZ NN .","IN DT NNS , NN VBZ NN ."
852,"Then we stood , unable to keep from staring at the stranger , who faced us awkwardly , half - smiling , taller than any man there .","RB PRP VBD , JJ TO VB IN VBG IN DT NN , WP VBD PRP RB , NN HYPH VBG , JJR IN DT NN RB .","RB PRP VBD , JJ TO VB IN VBG IN DT NN , WP VBD PRP RB , SYM : NN , NN IN DT NN RB .","RB PRP VBD , JJ TO VB IN VBG IN DT NN , WP VBD PRP RB , NN HYPH VBG , JJR IN DT NN RB .","RB PRP VBD , JJ TO VB IN VBG IN DT NN , WP VBD PRP RB , RB HYPH VBG , JJR IN DT NN RB .","RB PRP VBD , JJ TO VB IN VBG IN DT NN , WP VBD PRP RB , RB HYPH VBG , JJR IN DT NN RB .","RB PRP VBD , JJ TO VB IN VBG IN DT NN , WP VBD PRP RB , DT : VBG , JJR IN DT NN RB .","RB PRP VBD , JJ TO VB IN VBG IN DT NN , WP VBD PRP RB , NN HYPH VBG , JJR IN DT NN RB ."
853,A similar pattern often operates within businesses .,DT JJ NN RB VBZ IN NNS .,DT JJ NN RB VBZ IN NNS .,DT JJ NN RB VBZ IN NNS .,DT JJ NN RB VBZ IN NNS .,DT JJ NN RB VBZ IN NNS .,DT JJ NN RB VBZ IN NNS .,DT JJ NN RB VBZ IN NNS .
854,This is a problem .,DT VBZ DT NN .,DT VBZ DT NN .,DT VBZ DT NN .,DT VBZ DT NN .,DT VBZ DT NN .,DT VBZ DT NN .,DT VBZ DT NN .
855,We carved out little squares for the ants to live in ( covered with old CD covers to prevent them escaping ! ) .,PRP VBD RP JJ NNS IN DT NNS TO VB IN -LRB- VBN IN JJ NN NNS TO VB PRP VBG . -RRB- .,PRP VBD RP JJ NNS IN DT NNS TO VB IN ( VBN IN JJ NN VBZ TO VB PRP VBG . ) .,PRP VBD RP JJ NNS IN DT NNS TO VB IN -LRB- VBN IN JJ NNP VBZ TO VB PRP VBG . -RRB- .,PRP VBD RP JJ NNS IN DT NNS TO VB IN -LRB- VBN IN JJ NNP VBZ TO VB PRP VBG . -RRB- .,"PRP VBD RP JJ NNS IN DT NNS TO VB IN , VBN IN JJ NN NNS TO VB PRP VBG . -RRB- .",PRP VBD IN JJ NNS IN DT NNS TO VB IN -LRB- VBN IN JJ NNP NNS TO VB PRP VBG . -RRB- .,PRP VBD RP JJ NNS IN DT NNS TO VB IN -LRB- VBN IN JJ NN NNS TO VB PRP VBG . -RRB- .
856,"You and I , as individuals , can , by borrowing , live beyond our means , but for only a limited period of time .","PRP CC PRP , IN NNS , MD , IN VBG , VB IN PRP$ NNS , CC IN RB DT VBN NN IN NN .","PRP CC PRP , IN NNS , MD , IN VBG , JJ IN PRP$ NNS , CC IN RB DT JJ NN IN NN .","PRP CC PRP , IN NNS , MD , IN NN , VB IN PRP$ NNS , CC IN RB DT JJ NN IN NN .","PRP CC PRP , IN NNS , MD , IN VBG , VBP IN PRP$ NNS , CC IN RB DT JJ NN IN NN .","PRP CC PRP , IN NNS , MD , IN VBG , VB IN PRP$ NNS , CC IN RB DT JJ NN IN NN .","PRP CC PRP , IN NNS , MD , IN VBG , VB IN PRP$ NNS , CC IN RB DT JJ NN IN NN .","PRP CC PRP , IN NNS , MD , IN VBG , VBP IN PRP$ NNS , CC IN RB DT JJ NN IN NN ."
857,I,CD,PRP,PRP,PRP,PRP,PRP,CD
858,St Anne a very nice but also very touristy city and beach ( maybe the tourists primary area of Guadeloupe ) .,NNP NNP DT RB JJ CC RB RB JJ NN CC NN -LRB- RB DT NNS JJ NN IN NNP -RRB- .,NNP NNP DT RB JJ CC RB RB JJ NN CC NN ( RB DT NNS JJ NN IN NNP ) .,NNP NNP DT RB JJ CC RB RB JJ NN CC NN -LRB- RB DT NNS JJ NN IN NNP -RRB- .,NNP NNP DT RB JJ CC RB RB NN NN CC NN -LRB- RB DT NNS JJ NN IN NNP -RRB- .,"NNP NNP DT RB JJ CC RB RB JJ NN CC NN , RB DT NNS JJ NN IN NNP -RRB- .",NNP NNP DT RB JJ CC RB RB JJ NN CC NN -LRB- RB DT NNS JJ NN IN NNP -RRB- .,NNP NNP DT RB JJ CC RB RB JJ NN CC NN -LRB- RB DT NNS JJ NN IN NNP -RRB- .
859,So I hit okay ?,RB PRP VBP RB .,RB PRP VBP RB .,RB PRP VBD JJ .,RB PRP VBD JJ .,RB PRP VBP JJ .,IN PRP VBD JJ .,RB PRP VBD JJ .
860,It is likely that the shock will dislocate or break both your arms ; nevertheless this is a small price to pay for your life .,PRP VBZ JJ IN DT NN MD VB CC VB DT PRP$ NNS : RB DT VBZ DT JJ NN TO VB IN PRP$ NN .,PRP VBZ JJ IN DT NN MD VB CC VB DT PRP$ NNS : RB DT VBZ DT JJ NN TO VB IN PRP$ NN .,PRP VBZ JJ IN DT NN MD VB CC VB DT PRP$ NNS : RB DT VBZ DT JJ NN TO VB IN PRP$ NN .,PRP VBZ JJ IN DT NN MD VB CC VB CC PRP$ NNS : RB DT VBZ DT JJ NN TO VB IN PRP$ NN .,PRP VBZ JJ IN DT NN MD VB CC VB DT PRP$ NNS : RB DT VBZ DT JJ NN TO VB IN PRP$ NN .,PRP VBZ JJ IN DT NN MD VB CC VB DT PRP$ NNS : RB DT VBZ DT JJ NN TO VB IN PRP$ NN .,"PRP VBZ JJ IN DT NN MD VB CC VB CC PRP$ NNS , RB DT VBZ DT JJ NN TO VB IN PRP$ NN ."
861,Journal of Personality and Social Psychology . 92 ( 6 ) : 1087 _ 1101 . doi:10.1037/0022-3514.92.6.1087 . PMID 17547490 .,NNP IN NNP CC NNP NNP . CD -LRB- CD -RRB- : CD SYM CD . NNP . NNP CD .,NNP IN NNP CC NNP NNP . CD ( CD ) : CD NN CD . NN . NNP CD .,NNP IN NN CC JJ NN . CD -LRB- CD -RRB- : CD SYM CD . <UNK> . NNP CD .,NNP IN NNP CC NNP NNP . CD -LRB- CD -RRB- : CD : CD . <UNK> . NNS CD .,NNP IN NNP CC NNP NNP . CD SYM CD : : CD NN CD . <UNK> . NN CD .,NNP IN NNP CC NNP NNP . CD -LRB- CD -RRB- : CD NN CD . '' . NNP CD .,NNP CD .
862,Take up as much space as you can to dance until everyone is staring at you . [ 3 ],VB RP RB JJ NN IN PRP MD TO VB IN NN VBZ VBG IN PRP . -LRB- CD -RRB-,VB RP RB JJ NN IN PRP MD TO VB IN NN VBZ VBG IN PRP . VB CD NN,VB RP RB JJ NN IN PRP MD TO VB IN NN VBZ VBG IN PRP . -LRB- CD -RRB-,VB RP RB JJ NN IN PRP MD TO VB IN NN VBZ VBG IN PRP . -LRB- LS -RRB-,VB RP RB JJ NN IN PRP MD TO VB IN NN VBZ VBG IN PRP . '' LS -RRB-,VB RP RB JJ NN IN PRP MD TO VB IN NN VBZ VBG IN PRP . '' CD NN,VB RP RB JJ NN IN PRP MD TO VB IN NN VBZ VBG IN PRP . -LRB- CD -RRB-
863,"We may have to try something on our own , then .","PRP MD VB TO VB NN IN PRP$ JJ , RB .","PRP MD VB TO VB NN IN PRP$ JJ , RB .","PRP MD VB TO VB NN IN PRP$ JJ , RB .","PRP MD VB TO VB NN IN PRP$ JJ , RB .","PRP MD VB TO VB NN IN PRP$ JJ , RB .","PRP MD VB TO VB NN IN PRP$ JJ , RB .","PRP MD VB TO VB NN IN PRP$ JJ , RB ."
864,"The paper - type twist ties will deteriorate a little , but the dryer filter screen will catch the fallout .","DT NN HYPH NN NN NNS MD VB DT JJ , CC DT NN NN NN MD VB DT NN .","DT NN : NN NN NNS MD VB DT JJ , CC DT NN NN NN MD VB DT NN .","DT NN HYPH NN NN NNS MD VB DT JJ , CC DT NN NN NN MD VB DT NN .","DT NN HYPH NN NN NNS MD VB DT JJ , CC DT NN NN NN MD VB DT NN .","DT NN HYPH NN NN NNS MD VB DT JJ , CC DT NN NN NN MD VB DT NN .","DT NN : NN NN NNS MD VB DT JJ , CC DT JJ NN NN MD VB DT NN .","DT NN HYPH NN NN NNS MD VB DT JJ , CC DT NN NN NN MD VB DT NN ."
865,What we are talking about here is called grit or resilience .,WP PRP VBP VBG IN RB VBZ VBN NN CC NN .,WP PRP VBP VBG IN RB VBZ VBN NN CC NN .,WP PRP VBP VBG IN RB VBZ VBN NN CC NN .,WP PRP VBP VBG IN RB VBZ VBN NN CC NN .,WP PRP VBP VBG IN RB VBZ VBN NN CC NN .,WP PRP VBP VBG IN RB VBZ VBN NN CC NN .,WP PRP VBP VBG IN RB VBZ VBN NN CC NN .
866,"Thursday , May 7 , 2015","NNP , NNP CD , CD","NNP , NNP CD , CD","NNP , NNP CD , CD","NNP , NNP CD , CD","NNP , NNP CD , CD","NNP , NNP CD , CD","NNP , NNP CD , CD"
867,Australian woman claims Church of Scientology imprisoned her for twelve years,JJ NN VBZ NNP IN NNP VBN PRP IN CD NNS,JJ NN VBZ NNP IN NNP VBD PRP$ IN NN NNS,JJ NN VBZ NNP IN NNP VBN PRP IN CD NNS,JJ NN VBZ NNP IN NNP VBD PRP IN CD NNS,JJ NN VBZ NNP IN NNP VBD PRP IN CD NNS,JJ NN VBZ NNP IN NNP VBN PRP IN CD NNS,JJ NN VBZ NNP IN NNP VBN PRP IN CD NNS
868,Modern Olympic Games,JJ NNP NNPS,NNP NNP NNP,JJ NNP NNPS,NNP NNP NNPS,JJ NNP NNPS,NNP NNP NNPS,JJ JJ NNS
869,Say you want to fly from Chicago to Rome .,VB PRP VBP TO VB IN NNP IN NNP .,NNP PRP VBP TO VB IN NNP TO NNP .,VB PRP VB TO VB IN NNP IN NNP .,VB PRP VBP TO VB IN NNP IN NNP .,VB PRP VBP TO VB IN NNP IN NNP .,VB PRP VB TO VB IN NNP TO NNP .,VB PRP VBP TO VB IN NNP IN NNP .
870,( credit : Ken Thomas ),-LRB- NN : NNP NNP -RRB-,( NN : NNP NNP ),-LRB- NN : NNP NNP -RRB-,-LRB- NN : NNP NNP -RRB-,: NN : NNP NNP -RRB-,-LRB- NN : NNP NNP -RRB-,-LRB- NN : NNP NNP -RRB-
