,sequence,pos,nltk,corenlp,opennlp,spacy,flair
847,test subclass without constructor,VB NN IN NN,VB NN IN NN,VB NN IN NN,VB NN IN NN,VB NN IN NN,VB NN IN NN
848,dummy element,JJ NN,VB NN,VB NN,VB NN,VB NN,NN NN
849,test frame comparisons,VB NN NNS,VB JJ NNS,VB JJ NN,VB NN NNS,VB NN NNS,VB NN NNS
850,test frame flex comparisons,VB NN JJ NN,VB NN JJ NNS,VB JJ NN NN,VB NN NN NNS,VB NN JJ NNS,VB NN NN NNS
851,test frame flex arithmetic,VB NN JJ NN,VB NN JJ NN,VB JJ NN NN,VB NN NN NN,VB NN JJ NN,VB NN NN NN
852,test frame arithmetic,VB NN NN,VB JJ JJ,VB JJ NN,VB NN NN,VB JJ NN,VB NN NN
853,test frame arithmetic unsorted,VB NN NN JJ,VB JJ JJ JJ,VB JJ NN NN,VB NN NN JJ,VB JJ JJ VBN,VB NN NN VBN
854,test data frame alter axes,VB NNS NN VB NNS,VB NNS NN NN NNS,VB NNS JJ NN NN,VB NNS NN JJ NNS,VB NNS NN NN NNS,VB NNS NN VB NNS
855,test data frame analytics,VB NNS NN NNS,VB NNS NN NNS,VB NNS JJ NN,VB NNS NN NNS,VB NNS NN NNS,VB NNS NN NNS
856,test data frame reductions,VB NNS NN NNS,VB NNS NN NNS,VB NNS JJ NN,VB NNS NN NNS,VB NNS NN NNS,VB NNS NN NNS
857,test nuisance columns,VB NN NNS,VB NN NNS,VB JJ NNS,VB JJ NNS,VB JJ NN,VB NN NNS
858,test empty data frame reductions,VB JJ NNS NN NNS,VB JJ NNS NN NNS,VB JJ NNS JJ NN,VB JJ NNS NN NNS,VB JJ NNS NN NNS,VB JJ NNS NN NNS
859,test as array,VB IN NN,VB IN NN,VB IN NN,VB IN NN,VB IN NN,VB IN NN
860,test data frame repr,VB NNS NN NN,VB NNS NN NN,VB NNS JJ NN,VB NNS NN NN,VB NNS NN NN,VB NNS NN NN
861,test data frame logical operators,VB NNS NN JJ NNS,VB NNS NN JJ NNS,VB NNS JJ JJ NN,VB NNS NN JJ NNS,VB NNS JJ JJ NNS,VB NNS NN JJ NNS
862,test data frame validate,VB NNS NN VB,VB NNS NN NN,VB NNS JJ VB,VB NNS NN NN,VB NNS NN NN,VB NNS NN VB
863,test data frame reshape,VB NNS NN VB,VB NNS NN NN,VB NNS JJ NN,VB NNS NN NN,VB NNS NN NN,VB NNS NN NN
864,test stack unstack multi level,VB VB VB JJ NN,VB NN NN JJ NN,VB NN NN JJ NN,VB NN JJ JJ NN,VB NN NN JJ NN,VB NN NN JJ NN
865,test data frame unary operators,VB NNS NN JJ NNS,VB NNS NN JJ NNS,VB NNS JJ NN NN,VB NNS NN JJ NNS,VB NNS NN JJ NNS,VB NNS NN JJ NNS
866,test data frame block internals,VB NNS NN NN NNS,VB NNS NN NN NNS,VB NNS JJ NN NN,VB NNS NN NN NNS,VB NNS NN NN NNS,VB NNS NN NN NNS
867,test compat,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
868,test data frame eval,VB NNS NN NN,VB NNS NN NN,VB NNS JJ NN,VB NNS NN NN,VB NNS NN NN,VB NNS NN NN
869,test data frame query with multi index,VB NNS NN NN IN JJ NN,VB NNS NN NN IN JJ NN,VB NNS JJ NN IN JJ NN,VB NNS NN NN IN JJ NN,VB NNS NN NN IN JJ NN,VB NNS NN NN IN JJ NN
870,test data frame query num expr pandas,VB NNS NN NN NN NN NNP,VB NNS NN NN NN NN NN,VB NNS JJ NN NN NN NN,VB NNS NN NN NN NN NNS,VB NNS NN NN NN NN NN,VB NNS NN NN NN NN NNS
871,my dense,PRP$ JJ,PRP$ NN,VB NN,VB NN,DT NN,DT NN
872,my dropout,PRP$ NN,PRP$ NN,VB NN,VB NN,MD NN,DT NN
873,my model,PRP$ NN,PRP$ NN,VB NN,VB NN,DT NN,DT NN
874,activity regularization layer,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
875,custom callback,JJ NN,VB NN,JJ NN,JJ NN,JJ NN,NN NN
876,loss and error printing callback,NN CC NN NN NN,NN CC NN NN NN,NN CC NN NN NN,NN CC NN NN NN,NN CC NN NN NN,NN CC NN NN NN
877,early stopping at min loss,JJ VBG IN JJ NN,JJ NN IN JJ NN,JJ NN IN JJ NN,RB NN IN JJ NN,JJ VBG IN JJ NN,JJ NN IN JJ NN
878,custom learning rate scheduler,JJ NN NN NN,VB VBG NN NN,JJ NN NN NN,JJ JJ NN NN,JJ JJ NN NNS,JJ NN NN NN
879,linear,JJ,VB,VB,NN,VB,NN
880,compute sum,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
881,mlp block,NNP NN,VB NN,VB NN,VB NN,VB NN,VB NN
882,outer layer,JJ NN,VB NN,NN NN,NN NN,JJ NN,JJ NN
883,outer layer with kernel regularizer,JJ NN IN NN NN,VB NN IN NN NN,NN NN IN NN NN,NN NN IN NN NN,JJ NN IN NN NN,JJ NN IN NN NN
884,custom dropout,JJ NN,VB NN,JJ NN,JJ NN,JJ NN,JJ NN
885,sampling,NN,VBG,VB,JJ,NN,NN
886,encoder,NN,VB,VB,VB,NN,NN
887,decoder,NN,VB,NN,NN,NN,NN
888,variational auto encoder,JJ JJ NN,JJ NN NN,VB NN NN,JJ NN NN,JJ NN NN,JJ NN NN
889,custom model,JJ NN,VB NN,JJ NN,NN NN,JJ NN,JJ NN
890,my layer,PRP$ NN,PRP$ NN,VB NN,VB NN,DT NN,DT NN
891,temporal split,JJ NN,JJ VB,VB VB,JJ VB,JJ VB,JJ VB
892,custom embedding,JJ NN,VB NN,JJ NN,JJ NN,JJ NN,NN VBG
893,my activation,PRP$ NN,PRP$ NN,VB NN,VB NN,MD NN,DT NN
894,temporal softmax,JJ NNP,JJ NN,VB NN,JJ NN,JJ NN,JJ NN
895,custom dense,JJ NNP,JJ NN,JJ NN,JJ NN,JJ NN,NN JJ
896,custom rnn,JJ NNP,VB NN,JJ NN,JJ NN,JJ NN,NN NN
897,gan,NNP,NN,VB,VB,VB,NN
898,custom mse,JJ NNP,VB NN,JJ NN,JJ NN,NN NN,NN NNP
899,categorical true positives,JJ JJ NNS,JJ JJ NNS,VB JJ NN,JJ NN NNS,JJ JJ NNS,JJ JJ NNS
900,logistic endpoint,JJ NN,JJ NN,VB NN,JJ NN,JJ NN,JJ NN
901,example py dataset,NN NNP NN,NN NN NN,VB FW NN,VB NN NN,JJ FW VB,VB FW NN
902,example torch dataset,NN NNP NN,NN NN NN,VB NN NN,VB NN NN,JJ NN NN,VB NN NN
903,loss history,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
904,keras export,NNP NN,VB NN,VB NN,VBZ NN,NN NN,NN NN
905,example model,NN NN,NN NN,VB NN,VB NN,JJ NN,VB NN
906,clone model test,NN NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
907,sequential,JJ,VB,JJ,JJ,JJ,JJ
908,model test,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
909,multi input model,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN
910,nested layer,JJ NN,VBN NN,JJ NN,JJ NN,JJ NN,VBN NN
911,double nested layer,JJ JJ NN,VB JJ NN,NN JJ NN,NN JJ NN,NN JJ NN,NN JJ NN
912,variable mapping test,JJ NN NN,VB JJ NN,NN NN NN,JJ NN NN,JJ NN NN,JJ NN NN
913,functional,JJ,JJ,VB,JJ,JJ,JJ
914,sequential test,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
915,dict layer,NN NN,VB NN,VB NN,VB NN,VB NN,VB NN
916,list layer,NN NN,VB NN,VB NN,VB NN,VB NN,VB NN
917,dynamic layer,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
918,bad layer,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
919,model,NN,NN,NN,NN,NN,NN
920,functional test,JJ NN,JJ NN,VB NN,JJ NN,JJ NN,JJ NN
921,canary,NN,VB,VB,VB,NN,NN
922,variable,NN,VB,NN,NN,NN,NN
923,name scope,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
924,jax trainer,NNP NN,NNP NN,NN NN,NN NN,NN NN,NNP NN
925,jax epoch iterator,NNP NN NN,VB NN NN,NN NN NN,NN NN NN,NN NN NN,NNP NN NN
926,jax layer,NNP NN,NNP NN,NN NN,NN NN,VB NN,NNP NN
927,jax distribution lib test,NNP NN NN NN,VB NN NN NN,NN NN NN NN,NN NN NN NN,VB NN NN NN,VB NN NN NN
928,sharding capture layer,NN NN NN,JJ NN NN,VB NN NN,NN NN NN,VBG NN NN,VBG NN NN
929,jax optimizer,NNP NN,NNP NN,NN NN,NN NN,NNP NN,NN NN
930,device test,NN NN,VB NN,VB NN,NN NN,VB NN,NN NN
931,compute output spec test,NN NN JJ NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
932,tensor flow trainer,NN NN NNP,VB NN NN,VB NN NN,NN NN NN,VB JJ NN,NN NN NN
933,deprecated compiled metric,VBN VBN NN,VBN JJ JJ,VBN NN NN,VBN VBD JJ,VBN JJ NN,VBN VBN NN
934,tf epoch iterator,NNP NN NN,VB NN NN,VB NN NN,VB NN NN,FW NN NN,IN NN NN
935,tf layer,NNP NN,VB NN,VB NN,VB NN,DT NN,IN NN
936,optimizer distribute test,NN VB NN,VB NN NN,NN NN NN,NN NN NN,NN NN NN,VB VB NN
937,tf name scope test,NNP NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,TO NN NN NN,FW NN NN NN
938,custom model x,JJ NN FW,VB NN NN,JJ NN NN,NN NN NN,JJ NN NN,JJ NN NN
939,custom signature model,JJ NN NN,VB NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ JJ NN
940,saved model test,VBN NN NN,VBN NN NN,VBN NN NN,VBN NN NN,VBN NN NN,VBN NN NN
941,custom layer,JJ NN,VB NN,JJ NN,JJ NN,JJ NN,JJ NN
942,custom layer list,JJ NN NN,VB NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN
943,custom layer dict,JJ NN NN,VB NN NN,JJ NN NN,JJ NN JJ,JJ NN NN,JJ NN NN
944,adder,NN,VB,VB,VB,NN,NN
945,distribute test,VB NN,VB NN,VB NN,VB VB,VB NN,VB NN
946,tf optimizer,NNP NN,VB NN,VB NN,VB NN,TO NN,IN NN
947,keras auto trackable,NNP JJ JJ,VB NN NN,VB NN NN,VBZ JJ NN,NN NN NN,NN NN JJ
948,torch trainer,NNP NN,VB NN,VB NN,NN NN,NN NN,NN NN
949,torch epoch iterator,NNP NN NN,VB NN NN,VB NN NN,NN NN NN,NN NN NN,NN NN NN
950,torch layer,NNP NN,VB NN,VB NN,NN NN,NN NN,NN NN
951,custom gradient,JJ NN,VB NN,JJ NN,JJ NN,JJ NN,NN NN
952,custom gradient function,JJ NN NN,VB NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN
953,adam,NNP,VB,VB,VB,VB,NN
954,lion,NNP,NN,VB,NN,NN,NN
955,torch optimizer,NNP NN,VB NN,VB NN,NN NN,NN NN,NN NN
956,adam w,NNP FW,VB NN,VB FW,VB NN,NN FW,NN FW
957,nadam,NNP,NN,VB,NN,NN,NN
958,rms prop,NNP NN,VB NN,VB NN,VB NN,VB NN,NNP NN
959,ada grad,NNP NN,VB NN,VB NN,VB NN,NN NN,NN NN
960,ada max,NNP NN,VB NN,VB JJ,VB JJ,VB NN,NN NN
961,sgd,NNP,VB,VB,VB,NN,NNP
962,torch parallel optimizer,NNP JJ NN,VB NN NN,VB NN NN,NN NN NN,NN NN NN,VB NN NN
963,ada delta,NNP NN,VB NN,VB NN,VB NN,VB NN,NN NN
964,numpy trainer,NNP NN,JJ NN,VB NN,NN NN,NNS NN,JJ NN
965,numpy layer,NNP NN,VB NN,VB NN,NN NN,NNS NN,JJ NN
966,keras variable,NNP NN,VB NN,VB NN,VBZ NN,NN NN,NN NN
967,auto cast scope,JJ NN NN,NN NN NN,JJ NN NN,JJ VB NN,JJ NN NN,JJ NN NN
968,variable initialization test,NN NN NN,JJ NN NN,NN NN NN,NN NN NN,JJ NN NN,JJ NN NN
969,variable properties test,NN NNS NN,JJ NNS NN,NN NNS NN,NN NNS NN,JJ NNS NN,JJ NNS NN
970,variable numpy value and assignment test,NN NNP NN CC NN NN,VB JJ NN CC NN NN,NN NN NN CC NN NN,NN NN NN CC NN NN,JJ JJ NN CC NN NN,JJ JJ NN CC NN NN
971,variable d type shape n dim repr,NN FW NN NN FW NN NNP,VB NN NN NN NN NN NN,NN NN NN NN NN NN NN,NN NN NN NN NN NN NN,NN NN NN JJ NN NN NN,JJ NN NN NN NN JJ NN
972,variable operations test,NN NNPS NN,VB NNS NN,NN NNS NN,NN NNS NN,NN NNS NN,JJ NNS NN
973,variable binary operations test,NN JJ NNPS NN,JJ JJ NNS NN,NN JJ NNS NN,NN JJ NNS NN,NN JJ NNS NN,JJ JJ NNS NN
974,test standardize shape with torch,VB VB NN IN NNP,VB VB NN IN NN,VB NN NN IN NN,VB NN NN IN NN,VB VB NN IN NN,VB VB NN IN NN
975,test standardize shape with out torch,VB VB NN IN RP NNP,VB VB NN IN IN NN,VB NN NN IN NN NN,VB NN NN IN RP NN,VB VB NN IN NN NN,VB VB NN IN RP NN
976,keras tensor test,NNP NN NN,VB NN NN,VB NN NN,VBZ NN NN,NN NN NN,VB NN NN
977,convert conv transpose padding args jax test,VB NN NN NN NNP NNP NN,VB NN VB NN NNS NN NN,VB NN NN NN NNS NN NN,VB NN NN NN NNS NN NN,VB NN NN VBG NNS NN NN,VB FW VB NN NNS NNP NN
978,convert conv transpose padding args torch test,VB NN NN NN NNP NNP NN,VB NN VB NN NNS NN NN,VB NN NN NN NNS NN NN,VB NN NN NN NNS NN NN,VB NN NN VBG NNS NN NN,VB FW VB NN NNS NN NN
979,compute conv transpose padding args for jax test,VB NN NN NN NNP IN NNP NN,VB NN VB NN NNS IN NN NN,VB NN NN NN NNS IN NN NN,VB NN NN NN NNS IN NN NN,VB NN NN VBG NNS IN NNP NN,VB FW VB NN NNS IN NNP NN
980,compute conv transpose padding args for torch test,VB NN NN NN NNP IN NNP NN,VB NN VB NN NNS IN NN NN,VB NN NN NN NNS IN NN NN,VB NN NN NN NNS IN NN NN,VB NN NN VBG NNS IN NN NN,VB FW VB NN NNS IN NN NN
981,get output shape given tf padding test,VB NN NN VBN NNP NN NN,VB NN NN VBN NN VBG NN,VB NN NN NN NN NN NN,VB NN NN NN IN NN NN,VB NN NN NN VBZ VBG NN,VB NN NN VBN IN NN NN
982,d types test,FW NNS NN,NN NNS NN,NN NNS NN,VB NNS VB,NN NNS NN,NN NNS NN
983,test stateless scope,VB JJ NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB JJ NN
984,global state test,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN
985,stateless scope,JJ NN,VB NN,VB NN,NN NN,NN NN,JJ NN
986,name scope test,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
987,keras tensor,NNP NN,VB NN,VB NN,VBZ NN,NN NN,NN NN
988,container,NN,NN,NN,NN,NN,NN
989,random layer,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
990,export archive test,NN NN NN,VB JJ NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
991,test tfsm layer,VB NNP NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NNP NN
992,export archive,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
993,tfsm layer,NNP NN,VB NN,VB NN,VB NN,NN NN,NNP NN
994,serializable dict,JJ NN,JJ NN,JJ NN,JJ JJ,JJ NN,JJ NN
995,safe mode scope,JJ NN NN,VB NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN
996,object sharing scope,NN NN NN,NN VBG NN,VB NN NN,NN NN NN,VB VBG NN,NN VBG NN
997,disk io store,NN NNP NN,VB NN NN,NN NN NN,VB NN NN,NN IN NN,VB DT NN
998,h 5 io store,FW CD NNP NN,NN CD NN NN,NN CD NN NN,VB FW NN NN,FW CD IN NN,FW CD NN NN
999,h 5 entry,FW CD NN,NN CD NN,NN CD NN,VB NN NN,FW CD NN,FW CD NN
1000,npz io store,NNP NNP NN,VB NN NN,VB NN NN,VB NN NN,VB IN NN,FW FW NN
1001,custom object scope,JJ NN NN,VB NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN
1002,layer with custom saving,NN IN JJ NN,VB IN JJ NN,NN IN JJ NN,NN IN NN NN,NN IN JJ NN,NN IN JJ VBG
1003,model with custom saving,NN IN JJ NN,NN IN JJ NN,NN IN JJ NN,NN IN JJ NN,NN IN JJ NN,NN IN JJ VBG
1004,compile overriding model,VB JJ NN,VB VBG NN,VB NN NN,VB VBN NN,VB JJ NN,VB JJ NN
1005,compile overriding sequential,VB JJ JJ,VB VBG JJ,VB NN JJ,VB JJ JJ,VB JJ JJ,VB JJ JJ
1006,subclass functional,NN JJ,VB JJ,VB NN,VB JJ,NN JJ,VB JJ
1007,saving test,VBG NN,VBG NN,VB NN,NN NN,NN NN,VBG NN
1008,saving api test,VBG NNP NN,VBG NN NN,VB NN NN,JJ NNP NN,NN NN NN,VB NNP NN
1009,growth factor,NN NN,NN NN,VB NN,NN NN,VB NN,NN NN
1010,factor layer,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
1011,complex model,JJ NN,JJ NN,JJ NN,VB NN,JJ NN,JJ NN
1012,saving battle test,VBG NN NN,VBG NN NN,VB NN NN,JJ NN NN,NN NN NN,VBG NN NN
1013,normal model,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
1014,weird model,JJ NN,VB NN,VB NN,NN NN,JJ NN,JJ NN
1015,save model tests,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS
1016,load model tests,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS
1017,load weights tests,VB NNS NNS,VB NNS NNS,VB NN NNS,VB NNS NNS,VB NNS NNS,VB NNS NNS
1018,save model tests warning,VB NN NNS NN,VB NN NNS VBG,VB NN NNS NN,VB NN NNS VBG,VB NN NNS NN,VB NN NNS VBG
1019,nested custom layer,JJ JJ NN,JJ JJ NN,JJ NN NN,JJ NN NN,JJ JJ NN,VBN JJ NN
1020,wrapper layer,NN NN,VB NN,NN NN,VB NN,NN NN,NN NN
1021,serialization lib test,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
1022,plain functional subclass,JJ JJ NN,VB JJ NN,VB NN NN,VB JJ NN,VB JJ NN,VB JJ NN
1023,functional subclass w custom init,JJ NN FW JJ NN,JJ NN NN JJ NN,VB NN FW JJ VB,JJ NN NN NN VB,JJ NN FW JJ JJ,JJ NN NN NN NN
1024,shared activation,JJ NN,VBN NN,VBN NN,VBN NN,VBN NN,VBN NN
1025,my wrapper,PRP$ NN,PRP$ NN,VB NN,VB NN,MD NN,DT NN
1026,test object registration,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1027,custom class,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
1028,test class,NN NN,VB NN,VB NN,VB NN,VB NN,VB NN
1029,other test class,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN
1030,alpha dropout,NN NN,VB NN,VB NN,VB NN,NN NN,NN NN
1031,random height,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
1032,random width,JJ NN,JJ NN,JJ NN,JJ NN,NN NN,JJ NN
1033,thresholded re lu,VBN NNP NNP,VBN RB VB,VB IN NN,CD NN NN,VBN RB NNP,VBN NN NNP
1034,reduction,NN,NN,VB,VB,NN,NN
1035,timeseries generator,NNS NN,NNS NN,VB NN,NNS NN,VBZ NN,NNS NN
1036,iterator,NN,NN,NN,NN,NN,NN
1037,batch from files mixin,NN IN NNS NN,NN IN NNS NN,NN IN NNS NN,NN IN NNS NN,VB IN NNS NNS,NN IN NNS NN
1038,directory iterator,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
1039,numpy array iterator,NNP NN NN,JJ NN NN,VB NN NN,JJ NN NN,NNS NN NN,JJ NN NN
1040,data frame iterator,NN NN NN,NNS NNS NN,NNS JJ NN,NNS NN NN,NNS NN NN,NNS NN NN
1041,image data generator,NN NN NN,NN NNS NN,NN NNS NN,VB NNS NN,NN NNS NN,VB NNS NN
1042,tokenizer,NN,NN,VB,NN,NN,NN
1043,json utils test all backends,NNP NNS NN DT NNS,NNP NNP NN DT NNS,NNP NNP VB DT NNS,NNP NNP VB DT NNS,NNP NNS NN DT NNS,NNP NNS VB DT NNS
1044,enum,NN,NN,NN,NN,VB,NN
1045,json utils test tf,NNP NNS NN NNP,NNP NNP NN NN,NNP NN NN NN,NNP NNP NN NN,NNP NNS NN FW,NNP NNS NN FW
1046,masked tensor,VBN NN,VBN NN,VB NN,JJ NN,VBN NN,VBN NN
1047,disable shared object scope,VB VBN NN NN,VB VBN NN NN,VB VBN NN NN,VB JJ NN NN,VB VBN NN NN,VB VBN NN NN
1048,noop loading scope,NN NN NN,VB VBG NN,VB VBG NN,JJ NN NN,VB VBG NN,NN VBG NN
1049,shared object loading scope,VBN NN NN NN,VBN NN VBG NN,VBN NN VBG NN,VBN NN NN NN,VBN NN VBG NN,VBN NN VBG NN
1050,shared object config,VBN NN NN,VBN NN NN,VBN NN NN,VBN NN NN,VBN NN NN,VBN NN NN
1051,shared object saving scope,VBN NN NN NN,VBN NN VBG NN,VBN NN NN NN,VBN NN NN NN,VBN NN NN NN,VBN NN VBG NN
1052,legacy h 5 weights test,NN FW CD NNS NN,NN NN CD NNS NN,JJ NN CD NN NN,VB NN IN NNS NN,NN FW CD VB NN,VB FW CD NNS NN
1053,legacy h 5 whole model test,NN FW CD JJ NN NN,NN NN CD JJ NN NN,JJ NN CD NN NN NN,VB NN NN NN NN NN,NN FW CD VB NN NN,VB FW CD NN NN NN
1054,registered sub layer,JJ NN NN,VBN JJ NN,VB JJ NN,VBN JJ NN,VBN JJ NN,VBN JJ NN
1055,legacy h 5 backwards compat test,NN FW CD NNS NN NN,NN NN CD NNS NN NN,JJ NN CD NN NN NN,VB NN NN NNS NN NN,NN FW CD NNS JJ NN,VB FW CD NNS NN NN
1056,directory creation test,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
1057,re lu,NNP NNP,VB NN,IN NN,VB NN,RB NN,VB NNP
1058,mish,NNP,VB,VB,VB,VB,VB
1059,activations test,NNS NN,NNS NN,VB NN,NNS NN,NNS NN,NNS NN
1060,loss,NN,NN,NN,NN,NN,NN
1061,example loss,NN NN,NN NN,VB NN,VB NN,JJ NN,NN NN
1062,loss test,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
1063,mean squared error test,JJ JJ NN NN,VB JJ NN NN,JJ NN NN NN,VB JJ NN NN,VB VBN NN NN,VB JJ NN NN
1064,mean absolute error test,JJ JJ NN NN,VB NN NN NN,JJ NN NN NN,VB IN NN NN,VB NN NN NN,VB JJ NN NN
1065,mean absolute percentage error test,JJ JJ NN NN NN,VB NN NN NN NN,JJ NN NN NN NN,NN NN NN NN NN,VB NN JJ NN NN,VB JJ NN NN NN
1066,mean squared logarithmic error test,JJ JJ JJ NN NN,VB JJ JJ NN NN,JJ NN NN NN NN,NN VBN JJ NN NN,VB VBN JJ NN NN,VB VBN JJ NN NN
1067,hinge test,NN NN,VB NN,VB NN,VB VB,VB NN,NN NN
1068,squared hinge test,JJ NN NN,VBN NN NN,VB NN NN,VBN NN NN,VBN NN NN,VBN NN NN
1069,categorical hinge test,JJ NN NN,JJ NN NN,VB NN NN,JJ NN NN,JJ NN NN,JJ NN NN
1070,cosine similarity test,NN NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1071,huber loss test,NNP NNP NN,VB NN NN,VB NN NN,VB NN NN,NN NN NN,NN NN NN
1072,log cosh test,NN NN NN,VB VB NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1073,kl divergence test,NNP NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,FW NN NN
1074,poisson test,NN NN,VB NN,VB NN,NN NN,NN NN,NN NN
1075,binary crossentropy test,JJ NNP NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN
1076,categorical crossentropy test,JJ NNP NN,JJ NN NN,VB NN NN,JJ NN NN,JJ NN NN,JJ NN NN
1077,sparse categorical crossentropy test,JJ JJ NNP NN,VB JJ NN NN,VB NN NN NN,VB JJ NN NN,VB JJ NN NN,JJ JJ NN NN
1078,binary focal crossentropy test,JJ JJ NNP NN,JJ JJ NN NN,JJ NN NN NN,JJ JJ NN NN,JJ JJ NN NN,JJ NN NN NN
1079,categorical focal crossentropy test,JJ JJ NNP NN,JJ JJ NN NN,VB NN NN NN,JJ JJ NN NN,JJ JJ NN NN,JJ JJ NN NN
1080,ctc test,NNP NN,VB NN,VB NN,VB VB,VB NN,NNP NN
1081,dice test,NN NN,VB NN,VB NN,VB VB,VB NN,NN NN
1082,loss function wrapper,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
1083,mean squared error,JJ JJ NN,VB JJ NN,JJ NN NN,VB JJ NN,VB VBN NN,VB JJ NN
1084,mean absolute error,JJ JJ NN,VB NN NN,JJ NN NN,VB JJ NN,VB NN NN,VB JJ NN
1085,mean absolute percentage error,JJ JJ NN NN,VB NN NN NN,JJ NN NN NN,NN NN NN NN,VB NN JJ NN,VB JJ NN NN
1086,mean squared logarithmic error,JJ JJ JJ NN,VB JJ JJ NN,JJ NN NN NN,NN VBN JJ NN,VB VBN JJ NN,VB VBN JJ NN
1087,cosine similarity,NN NN,VB NN,VB NN,VB NN,VB NN,NN NN
1088,huber,NNP,NNP,VB,NN,NN,NN
1089,log cosh,NN NNP,VB NN,VB NN,VB NN,VB NN,NN NN
1090,hinge,NN,NN,VB,VB,VB,NN
1091,squared hinge,JJ NN,VBN NN,VB NN,VBN NN,VBN NN,VBN NN
1092,categorical hinge,JJ NN,JJ NN,VB NN,JJ NN,JJ NN,JJ NN
1093,kl divergence,NNP NN,VB NN,VB NN,NN NN,VB NN,FW NN
1094,poisson,NN,NN,VB,NN,NN,NN
1095,binary crossentropy,JJ NNP,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
1096,binary focal crossentropy,JJ JJ NNP,JJ JJ NN,JJ NN NN,JJ JJ NN,JJ JJ NN,JJ NN NN
1097,categorical crossentropy,JJ NNP,JJ NN,VB NN,JJ NN,JJ NN,JJ NN
1098,categorical focal crossentropy,JJ JJ NNP,JJ JJ NN,VB NN NN,JJ JJ NN,JJ JJ NN,JJ JJ NN
1099,sparse categorical crossentropy,JJ JJ NNP,VB JJ NN,VB NN NN,VB JJ NN,VB JJ NN,JJ JJ NN
1100,ctc,NNP,VB,VB,VB,VB,NNP
1101,dice,NN,VB,VB,VB,VB,NN
1102,device mesh,NN NN,VB NN,VB NN,NN NN,VB NN,NN NN
1103,tensor layout,NNP NN,NN NN,VB NN,NN NN,VB NN,VB NN
1104,distribution,NN,NN,NN,NN,NN,NN
1105,data parallel,NNS NN,NNS NNS,NNS NN,NNS NN,NNS NN,NNS NN
1106,model parallel,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
1107,layout map,NN NN,NN NN,NN NN,NN NN,VB NN,NN NN
